# t	s_num	e_num	p_num
3.49 8.52632e-21 61.7088 61.7088
3.5 4.58738e-21 62.5218 62.5218
3.51 2.44826e-21 63.3455 63.3455
3.52 1.29596e-21 64.1801 64.1801
3.53 6.80347e-22 65.0256 65.0256
3.54 3.5418e-22 65.8822 65.8822
3.55 1.82823e-22 66.7501 66.7501
3.56 9.35628e-23 67.6294 67.6294
3.57 4.74677e-23 68.5203 68.5203
3.58 2.38709e-23 69.4229 69.4229
3.59 1.18979e-23 70.3373 70.3373
3.6 5.87703e-24 71.2638 71.2638
3.61 2.87662e-24 72.2025 72.2025
3.62 1.39508e-24 73.1535 73.1535
3.63 6.70289e-25 74.1171 74.1171
3.64 3.19024e-25 75.0933 75.0933
3.65 1.50396e-25 76.0824 76.0824
3.66 7.02189e-26 77.0844 77.0844
3.67 3.24661e-26 78.0997 78.0997
3.68 1.48634e-26 79.1283 79.1283
3.69 6.73706e-27 80.1704 80.1704
3.7 3.02302e-27 81.2263 81.2263
3.71 1.34271e-27 82.296 82.296
3.72 5.90271e-28 83.3799 83.3799
3.73 2.56803e-28 84.4779 84.4779
3.74 1.10556e-28 85.5905 85.5905
3.75 4.70933e-29 86.7176 86.7176
3.76 1.98463e-29 87.8596 87.8596
3.77 8.27379e-30 89.0167 89.0167
3.78 3.41186e-30 90.1889 90.1889
3.79 1.39154e-30 91.3766 91.3766
3.8 5.61284e-31 92.5799 92.5799
3.81 2.23877e-31 93.799 93.799
3.82 8.82962e-32 95.0342 95.0342
3.83 3.44304e-32 96.2856 96.2856
3.84 1.32732e-32 97.5535 97.5535
3.85 5.05842e-33 98.8381 98.8381
3.86 1.90558e-33 100.14 100.14
3.87 7.09554e-34 101.458 101.458
3.88 2.61137e-34 102.794 102.794
3.89 9.49846e-35 104.148 104.148
3.9 3.41447e-35 105.519 105.519
3.91 1.21301e-35 106.908 106.908
3.92 4.25863e-36 108.316 108.316
3.93 1.47752e-36 109.742 109.742
3.94 5.06586e-37 111.187 111.187
3.95 1.71647e-37 112.651 112.651
3.96 5.74774e-38 114.135 114.135
3.97 1.90217e-38 115.637 115.637
3.98 6.22188e-39 117.16 117.16
3.99 2.01161e-39 118.702 118.702
4 6.42923e-40 120.265 120.265
4.01 2.0315e-40 121.849 121.849
4.02 6.3471e-41 123.453 123.453
4.03 1.96113e-41 125.078 125.078
4.04 5.99362e-42 126.725 126.725
4.05 1.81226e-42 128.394 128.394
4.06 5.42253e-43 130.084 130.084
4.07 1.60604e-43 131.797 131.797
4.08 4.70999e-44 133.532 133.532
4.09 1.36817e-44 135.29 135.29
4.1 3.93809e-45 137.071 137.071
4.11 1.12368e-45 138.876 138.876
4.12 3.1799e-46 140.704 140.704
4.13 8.92943e-47 142.557 142.557
4.14 2.48953e-47 144.434 144.434
4.15 6.89541e-48 146.335 146.335
4.16 1.89864e-48 148.262 148.262
4.17 5.20091e-49 150.214 150.214
4.18 1.41842e-49 152.191 152.191
4.19 3.85468e-50 154.195 154.195
4.2 1.04475e-50 156.225 156.225
4.21 2.82684e-51 158.282 158.282
4.22 7.64349e-52 160.365 160.365
4.23 2.06755e-52 162.477 162.477
4.24 5.60137e-53 164.616 164.616
4.25 1.5217e-53 166.783 166.783
4.26 4.15061e-54 168.978 168.978
4.27 1.13821e-54 171.203 171.203
4.28 3.14239e-55 173.457 173.457
4.29 8.74689e-56 175.74 175.74
4.3 2.4584e-56 178.054 178.054
4.31 6.98756e-57 180.398 180.398
4.32 2.01169e-57 182.773 182.773
4.33 5.87579e-58 185.179 185.179
4.34 1.74404e-58 187.617 187.617
4.35 5.26948e-59 190.087 190.087
4.36 1.62343e-59 192.589 192.589
4.37 5.10863e-60 195.124 195.124
4.38 1.64485e-60 197.693 197.693
4.39 5.42806e-61 200.296 200.296
4.4 1.83911e-61 202.932 202.932
4.41 6.40843e-62 205.604 205.604
4.42 2.30042e-62 208.311 208.311
4.43 8.52102e-63 211.053 211.053
4.44 3.26218e-63 213.831 213.831
4.45 1.29284e-63 216.646 216.646
4.46 5.31214e-64 219.498 219.498
4.47 2.26636e-64 222.388 222.388
