# t	TI	TM	I	u
4.72 -0.110917 0.824822 32.6663 0.311877
4.73 -0.112858 0.822363 32.7703 0.311565
4.74 -0.114786 0.819904 32.8738 0.311254
4.75 -0.1167 0.817445 32.9768 0.310943
4.76 -0.118599 0.814986 33.0792 0.310632
4.77 -0.120485 0.812527 33.181 0.310321
4.78 -0.122356 0.810068 33.2822 0.310011
4.79 -0.124214 0.80761 33.3829 0.309701
4.8 -0.126057 0.805153 33.4829 0.309392
4.81 -0.127887 0.802697 33.5824 0.309082
4.82 -0.129702 0.800242 33.6812 0.308774
4.83 -0.131504 0.797788 33.7795 0.308465
4.84 -0.133291 0.795335 33.8771 0.308157
4.85 -0.135065 0.792884 33.9741 0.307849
4.86 -0.136825 0.790435 34.0705 0.307541
4.87 -0.138571 0.787987 34.1663 0.307234
4.88 -0.140303 0.785542 34.2614 0.306926
4.89 -0.142022 0.783099 34.3559 0.30662
4.9 -0.143726 0.780658 34.4497 0.306313
4.91 -0.145417 0.77822 34.5429 0.306007
4.92 -0.147095 0.775784 34.6355 0.305701
4.93 -0.148758 0.773352 34.7274 0.305396
4.94 -0.150408 0.770922 34.8187 0.30509
4.95 -0.152045 0.768495 34.9093 0.304785
4.96 -0.153667 0.766072 34.9992 0.304481
4.97 -0.155277 0.763652 35.0885 0.304176
4.98 -0.156873 0.761236 35.1771 0.303872
4.99 -0.158455 0.758823 35.265 0.303569
5 -0.160024 0.756414 35.3523 0.303265
5.01 -0.16158 0.754009 35.4389 0.302962
5.02 -0.163122 0.751609 35.5248 0.302659
5.03 -0.164652 0.749212 35.61 0.302357
5.04 -0.166168 0.746821 35.6945 0.302055
5.05 -0.167671 0.744433 35.7784 0.301753
5.06 -0.16916 0.74205 35.8616 0.301451
5.07 -0.170637 0.739672 35.9441 0.30115
5.08 -0.172101 0.737299 36.0259 0.300849
5.09 -0.173552 0.734932 36.107 0.300548
5.1 -0.174989 0.732569 36.1874 0.300248
5.11 -0.176415 0.730211 36.2671 0.299948
5.12 -0.177827 0.727859 36.3462 0.299648
5.13 -0.179226 0.725513 36.4245 0.299348
5.14 -0.180613 0.723172 36.5022 0.299049
5.15 -0.181987 0.720837 36.5791 0.29875
5.16 -0.183349 0.718507 36.6554 0.298452
5.17 -0.184698 0.716184 36.731 0.298153
5.18 -0.186035 0.713867 36.8058 0.297855
5.19 -0.18736 0.711556 36.88 0.297558
5.2 -0.188672 0.709251 36.9535 0.29726
5.21 -0.189971 0.706953 37.0263 0.296963
5.22 -0.191259 0.704661 37.0984 0.296666
5.23 -0.192534 0.702376 37.1698 0.29637
5.24 -0.193798 0.700098 37.2405 0.296074
5.25 -0.195049 0.697826 37.3106 0.295778
5.26 -0.196289 0.695561 37.3799 0.295482
5.27 -0.197516 0.693303 37.4486 0.295187
5.28 -0.198732 0.691053 37.5165 0.294892
5.29 -0.199936 0.688809 37.5838 0.294597
5.3 -0.201128 0.686573 37.6504 0.294302
5.31 -0.202309 0.684344 37.7164 0.294008
5.32 -0.203478 0.682122 37.7816 0.293714
5.33 -0.204636 0.679908 37.8462 0.293421
5.34 -0.205782 0.677701 37.9101 0.293128
5.35 -0.206917 0.675502 37.9733 0.292835
5.36 -0.208041 0.67331 38.0358 0.292542
5.37 -0.209153 0.671127 38.0977 0.29225
5.38 -0.210254 0.668951 38.159 0.291957
5.39 -0.211345 0.666783 38.2195 0.291666
5.4 -0.212424 0.664623 38.2794 0.291374
5.41 -0.213492 0.662471 38.3387 0.291083
5.42 -0.21455 0.660327 38.3972 0.290792
5.43 -0.215596 0.658191 38.4552 0.290501
5.44 -0.216632 0.656064 38.5125 0.290211
5.45 -0.217657 0.653944 38.5691 0.289921
5.46 -0.218672 0.651833 38.6251 0.289631
5.47 -0.219676 0.649731 38.6805 0.289342
5.48 -0.22067 0.647636 38.7352 0.289052
5.49 -0.221653 0.645551 38.7893 0.288764
5.5 -0.222626 0.643473 38.8428 0.288475
5.51 -0.223589 0.641404 38.8956 0.288187
5.52 -0.224542 0.639344 38.9479 0.287899
5.53 -0.225484 0.637292 38.9995 0.287611
5.54 -0.226417 0.635249 39.0505 0.287323
5.55 -0.227339 0.633215 39.1009 0.287036
5.56 -0.228252 0.631189 39.1506 0.286749
5.57 -0.229155 0.629172 39.1998 0.286463
5.58 -0.230048 0.627164 39.2484 0.286176
5.59 -0.230931 0.625165 39.2964 0.28589
5.6 -0.231805 0.623175 39.3438 0.285605
5.61 -0.23267 0.621193 39.3906 0.285319
5.62 -0.233524 0.61922 39.4369 0.285034
5.63 -0.23437 0.617256 39.4825 0.284749
5.64 -0.235206 0.615302 39.5276 0.284464
5.65 -0.236033 0.613356 39.5721 0.28418
5.66 -0.236851 0.611419 39.6161 0.283896
5.67 -0.237659 0.609491 39.6595 0.283612
5.68 -0.238459 0.607572 39.7023 0.283329
5.69 -0.23925 0.605662 39.7446 0.283046
5.7 -0.240031 0.603761 39.7864 0.282763
5.71 -0.240804 0.601869 39.8276 0.28248
5.72 -0.241568 0.599987 39.8683 0.282198
5.73 -0.242324 0.598113 39.9084 0.281916
